Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2;P(1);P(X);P(2);Top1;Top2;Top3;P(Top1);P(Top2);P(Top3)
850;2;ATHLETICO/PR;VASCO DA GAMA/RJ;Domingo;1;0;0;1,53;4;6;0,610687023;0,233587786;0,155725191;1;0;0;0,610687023;0,233587786;0,155725191
850;3;FLAMENGO/RJ;CRUZEIRO/MG;Sábado;1;0;0;2,15;3,4;3,25;0,435940428;0,275668212;0,28839136;1;0;0;0,435940428;0,28839136;0,275668212
850;4;GREMIO/RS;SANTOS/SP;Domingo;0;0;1;1,95;3,3;4;0,481137233;0,284308365;0,234554401;0;0;1;0,481137233;0,284308365;0,234554401
850;5;SAO PAULO/SP;BOTAFOGO/RJ;Sábado;1;0;0;1,57;3,8;6;0,597077463;0,246687268;0,156235269;1;0;0;0,597077463;0,246687268;0,156235269
850;6;ATLETICO/MG;AVAI/SC;Sábado;1;0;0;1,5;4;7;0,629213483;0,235955056;0,134831461;1;0;0;0,629213483;0,235955056;0,134831461
850;7;CHAPECOENSE/SC;INTERNACIONAL/RS;Sábado;1;0;0;2,87;3,2;2,5;0,328420707;0,294552322;0,377026972;0;1;0;0,377026972;0,328420707;0,294552322
850;8;CEARA/CE;CSA/AL;Domingo;1;0;0;1,9;3,4;4;0,491684743;0,274765004;0,233550253;1;0;0;0,491684743;0,274765004;0,233550253
850;9;FLUMINENSE/RJ;GOIAS/GO;Domingo;0;0;1;1,72;3,5;5;0,54483188;0,267745953;0,187422167;0;0;1;0,54483188;0,267745953;0,187422167
850;10;CRB/AL;LONDRINA/PR;Domingo;0;0;1;1,95;3,2;4,2;0,482238967;0,29386437;0,223896663;0;0;1;0,482238967;0,29386437;0,223896663
850;11;VILA NOVA/GO;PARANA/PR;Sábado;0;1;0;2,1;3,1;3,8;0,448420251;0,303768557;0,247811191;0;1;0;0,448420251;0,303768557;0,247811191
850;12;GUARANI/SP;FIGUEIRENSE/SC;Sábado;0;1;0;2,2;3,2;3,3;0,424778761;0,292035398;0,283185841;0;1;0;0,424778761;0,292035398;0,283185841
850;13;ABC/RN;NAUTICO/PE;Domingo;1;0;0;2,39;3,13;2,68;0,376595449;0,287560103;0,335844449;1;0;0;0,376595449;0,335844449;0,287560103
850;14;BAHIA/BA;CORINTHIANS/SP;Domingo;1;0;0;2,37;3,25;3;0,396946565;0,289465649;0,313587786;1;0;0;0,396946565;0,313587786;0,289465649
849;1;CORINTHIANS/SP;SAO PAULO/SP;Domingo;1;0;0;2,3;2,87;3,5;0,406746032;0,325963719;0,267290249;1;0;0;0,406746032;0,325963719;0,267290249
849;2;SPORT/PE;NAUTICO/PE;Domingo;0;0;1;2;3,5;3;0,446808511;0,255319149;0,29787234;0;1;0;0,446808511;0,29787234;0,255319149
849;3;FLAMENGO/RJ;VASCO DA GAMA/RJ;Domingo;1;0;0;1,53;3,75;7;0,614790093;0,250834358;0,134375549;1;0;0;0,614790093;0,250834358;0,134375549
849;4;REMO/PA;INDEPENDENTE/PA;Domingo;1;0;0;1,93;3,34;3,42;0,466815968;0,269746951;0,263437081;1;0;0;0,466815968;0,269746951;0,263437081
849;5;GOIAS/GO;ATLETICO/GO;Domingo;0;0;1;1,9;3,5;3,25;0,470041322;0,255165289;0,274793388;0;1;0;0,470041322;0,274793388;0,255165289
849;6;CRB/AL;CSA/AL;Domingo;1;0;0;2,27;3,24;2,75;0,395871562;0,277354458;0,32677398;1;0;0;0,395871562;0,32677398;0,277354458
849;7;ATLETICO/MG;CRUZEIRO/MG;Sábado;0;1;0;2,5;3,25;2,6;0,366197183;0,281690141;0,352112676;0;0;1;0,366197183;0,352112676;0,281690141
849;8;BAHIA/BA;BAHIA DE FEIRA/BA;Domingo;1;0;0;1,72;3,4;4;0,516560316;0,261318748;0,222120936;1;0;0;0,516560316;0,261318748;0,222120936
849;9;INTER DE MILAO;ROMA;Sábado;0;1;0;1,8;3,6;4,5;0,526315789;0,263157895;0,210526316;0;1;0;0,526315789;0,263157895;0,210526316
849;10;ARSENAL;CRYSTAL PALACE;Domingo;0;0;1;1,53;4,75;6;0,634073085;0,204238278;0,161688637;0;0;1;0,634073085;0,204238278;0,161688637
849;11;CARDIFF;LIVERPOOL;Domingo;0;0;1;17;7,5;1,2;0,057361377;0,13001912;0,812619503;1;0;0;0,812619503;0,13001912;0,057361377
849;12;BARCELONA;REAL SOCIEDAD;Sábado;1;0;0;1,22;6,5;13;0,780312125;0,146458583;0,073229292;1;0;0;0,780312125;0,146458583;0,073229292
849;13;BETIS;VALENCIA;Domingo;0;0;1;3;3,3;2,4;0,316546763;0,287769784;0,395683453;1;0;0;0,395683453;0,316546763;0,287769784
849;14;REAL MADRID;ATH. BILBAO;Domingo;1;0;0;1,5;4,2;6,5;0,629757785;0,224913495;0,14532872;1;0;0;0,629757785;0,224913495;0,14532872
848;1;INTERNACIONAL/RS;GREMIO/RS;Domingo;0;1;0;2,37;2,9;3;0,38354715;0,313450602;0,303002248;0;1;0;0,38354715;0,313450602;0,303002248
848;2;ATLETICO/GO;GOIAS/GO;Domingo;1;0;0;3,1;3;2,3;0,295756537;0,305615088;0,398628375;0;0;1;0,398628375;0,305615088;0,295756537
848;3;VASCO DA GAMA/RJ;FLAMENGO/RJ;Domingo;0;0;1;4,33;3,5;1,8;0,215391979;0,266470649;0,518137372;1;0;0;0,518137372;0,266470649;0,215391979
848;4;CRUZEIRO/MG;ATLETICO/MG;Domingo;1;0;0;1,95;3,1;3,8;0,466811968;0,293639786;0,239548246;1;0;0;0,466811968;0,293639786;0,239548246
848;5;NAUTICO/PE;SPORT/PE;Domingo;0;0;1;2,5;3,5;2,3;0,356984479;0,254988914;0,388026608;1;0;0;0,388026608;0,356984479;0,254988914
848;6;AVAI/SC;CRICIUMA/SC;Domingo;0;1;0;1,66;3,4;4,5;0,538466953;0,262898571;0,198634476;0;1;0;0,538466953;0,262898571;0,198634476
848;7;CHAPECOENSE/SC;FIGUEIRENSE/SC;Domingo;1;0;0;1,9;3,5;3,5;0,479452055;0,260273973;0,260273973;1;0;0;0,479452055;0,260273973;0,260273973
848;8;BAHIA DE FEIRA/BA;BAHIA/BA;Domingo;0;1;0;6;4;1,5;0,153846154;0,230769231;0,615384615;0;1;0;0,615384615;0,230769231;0,153846154
848;9;CSA/AL;CRB/AL;Domingo;1;0;0;2,12;3;3,24;0,423551558;0,299309768;0,277138674;1;0;0;0,423551558;0,299309768;0,277138674
848;10;BRASILIENSE/DF;GAMA/DF;Sábado;0;0;1;3;3,2;2,15;0,300043611;0,281290885;0,418665504;1;0;0;0,418665504;0,300043611;0,281290885
848;11;FIORENTINA;BOLOGNA;Domingo;0;1;0;1,95;3,5;4;0,489082969;0,272489083;0,238427948;0;1;0;0,489082969;0,272489083;0,238427948
848;12;MILAN;LAZIO;Sábado;1;0;0;2,6;3,4;2,62;0,362703583;0,277361564;0,359934853;1;0;0;0,362703583;0,359934853;0,277361564
848;13;CRYSTAL PALACE;MANCHESTER CITY;Domingo;0;0;1;10;5,75;1,33;0,09748558;0,169540138;0,732974282;1;0;0;0,732974282;0,169540138;0,09748558
848;14;LIVERPOOL;CHELSEA;Domingo;1;0;0;1,66;4,1;5,5;0,58592735;0,237229122;0,176843528;1;0;0;0,58592735;0,237229122;0,176843528
847;1;PALMEIRAS/SP;SAO PAULO/SP;Domingo;0;1;0;1,8;3,3;4,75;0,519641969;0,283441074;0,196916957;0;1;0;0,519641969;0,283441074;0,196916957
847;2;CRUZEIRO/MG;AMERICA/MG;Sábado;1;0;0;1,7;3,5;4,5;0,536626917;0,260647359;0,202725724;1;0;0;0,536626917;0,260647359;0,202725724
847;3;ATLETICO/GO;VILA NOVA/GO;Domingo;1;0;0;1,72;3,3;4,33;0,521256648;0,271685283;0,207058068;1;0;0;0,521256648;0,271685283;0,207058068
847;4;INTERNACIONAL/RS;CAXIAS/RS;Sábado;1;0;0;1,72;3,8;4;0,531171373;0,240424937;0,22840369;1;0;0;0,531171373;0,240424937;0,22840369
847;5;GREMIO/RS;SAO LUIZ/RS;Domingo;1;0;0;1,3;4,5;8;0,688995215;0,199043062;0,111961722;1;0;0;0,688995215;0,199043062;0,111961722
847;6;CHAPECOENSE/SC;AVAI/SC;Domingo;0;0;1;1,7;3,4;4,75;0,538243626;0,269121813;0,192634561;0;0;1;0,538243626;0,269121813;0,192634561
847;7;JOINVILLE/SC;TUBARAO/SC;Domingo;0;0;1;3,1;3;2,3;0,295756537;0,305615088;0,398628375;1;0;0;0,398628375;0,305615088;0,295756537
847;8;CUIABA/MT;LUVERDENSE/MT;Sábado;1;0;0;1,59;3,82;5;0,576624663;0,240008695;0,183366643;1;0;0;0,576624663;0,240008695;0,183366643
847;9;FIGUEIRENSE/SC;MARCILIO DIAS/SC;Domingo;0;0;1;2;3,2;3,5;0,455284553;0,284552846;0,260162602;0;0;1;0,455284553;0,284552846;0,260162602
847;10;METROPOLITANO/SC;BRUSQUE/SC;Domingo;1;0;0;2,25;3;3,2;0,407643312;0,305732484;0,286624204;1;0;0;0,407643312;0,305732484;0,286624204
847;11;GOIAS/GO;GOIANIA/GO;Sábado;1;0;0;1,22;5,25;11;0,744440864;0,172993877;0,082565259;1;0;0;0,744440864;0,172993877;0,082565259
847;12;MOTO CLUBE/MA;MARANHAO/MA;Domingo;1;0;0;1,59;3,4;5,35;0,566622537;0,264979363;0,1683981;1;0;0;0,566622537;0,264979363;0,1683981
847;13;ATLETICO/MG;BOA ESPORTE/MG;Domingo;1;0;0;1,28;5,5;7,5;0,7125583;0,16583175;0,12160995;1;0;0;0,7125583;0,16583175;0,12160995
847;14;BARCELONA;ATLETICO MADRID;Sábado;1;0;0;1,72;3,6;5;0,548914369;0,262259088;0,188826543;1;0;0;0,548914369;0,262259088;0,188826543
846;1;FORTALEZA/CE;ABC/RN;Sábado;1;0;0;1,65;3,74;5,5;0,574324324;0,253378378;0,172297297;1;0;0;0,574324324;0,253378378;0,172297297
846;2;VITORIA/BA;NAUTICO/PE;Sábado;0;1;0;2,06;3,3;3,7;0,458505445;0,286218551;0,255276005;0;1;0;0,458505445;0,286218551;0,255276005
846;3;SAMPAIO CORREA/MA;BAHIA/BA;Sábado;1;0;0;11,5;5,6;1,26;0,082098062;0,168594234;0,749307705;0;0;1;0,749307705;0,168594234;0,082098062
846;4;CORITIBA/PR;PARANA/PR;Domingo;1;0;0;1,9;3,2;3,8;0,47761194;0,28358209;0,23880597;1;0;0;0,47761194;0,28358209;0,23880597
846;5;LONDRINA/PR;ATHLETICO/PR;Domingo;1;0;0;1,75;3,4;4,26;0,519344544;0,267309692;0,213345764;1;0;0;0,519344544;0,267309692;0,213345764
